word,weight
gemes,-2
gempal,-2
gempil,-4
gempur,-4
gempuran,-3
gemuruh,-3
genang,-2
genangan,-2
gencat,-5
gencet,-5
gendak,-5
gendeng,-2
gendut,-1
generasi,-3
genitalia,-3
genjang,-4
gerah,-5
gerecok,-4
geregetan,-4
gerenyot,-4
gerepes,-4
geret,-3
geretan,-4
gergaji,-1
gerhana,-2
geriap,-4
gering,-5
gering hulu,-4
germo,-5
gerombol,-4
gerombolan,-4
gerombong,-4
gersang,-3
gertak,-5
geruh,-4
getap,-4
getir,-4
getun,-4
giang,-3
gibah,-3
gidik,-4
gigit jari,-3
gila,-2
gila-gila,-4
gilak,-4
gilas,-4
gili-gili,-3
ginding,-4
gingsir,-3
giniin,-2
gituan,-3
giwang,-1
gjd,-3
gobar hati,-2
goblok,-5
godaan,-3
godain,-3
gogrok,-3
gohong,-3
golak,-5
golek,-1
gombong,-3
goncang,-3
gondok,-4
gone,-2
gonggong anjing,-3
gonggongan (anjing),-3
gonjak,-5
gontok,-4
goodbye,-3
gorek api,-4
gorong-gorong,-4
gosah,-3
gosip,-5
gosok,-5
gosong,-2
got,-3
goyah,-4
grecok,-4
grip,-4
griya,-1
grogi,-4
gua,-3
gubrisan,-2
gubuk,-2
gugatan,-5
gugup,-5
gugur,-3
gugus,-4
gulana,-4
guling,-3
gulir,-3
gulung tikar,-5
guncang,-3
guncangan,-2
gundah,-5
gundal,-3
gundik,-2
gunduk,-3
gundukan,-4
gunjingan,-5
guntur,-3
guram,-2
gurauan,-4
gurub,-5
gurun,-3
gusur,-5
guyon,-4
habis akal,-5
habitat,-2
hack,-4
hadang,-5
hadirin,-3
haih,-4
hajar,-5
hakam,-3
halah,-5
halang,-3
halilintar,-3
hama,-3
hambar,-4
hambat,-4
hambur,-3
hamburan,-3
hamik,-3
hampa,-5
hamster,-3
hancai,-5
hancur lebur,-5
hangit,-5
hangus,-3
hantam,-5
hantam kromo,-4
hantaman,-3
hanya,-2
harap-harap,-5
harap-harap cemas,-3
hardik,-5
hardikan,-5
haru biru,-5
hasud,-5
hate,-5
haters,-5
haus darah,-5
hawa,-4
hawar,-5
hayoloh,-3
hembus,-3
hempas,-4
hengkang,-4
henti tugas,-2
henyak,-4
heula,-2
hiatus,-2
hidu,-1
hidung,-5
hidung belang,-5
hih,-4
hilaf,-4
hilang,-3
hilang akal,-5
hilang arwah,-4
hilang hayat,-4
hilang ingat,-4
hilang ingatan,-4
hilang nyawa,-5
hilang pikiran,-4
hilang semangat,-4
himpun,-3
himpunan,-4
hina,-5
hina aib,-4
hina rendah,-3
hinaan,-5
hinaan cacian,-5
hipotesis,-3
hirap,-3
hirup,-3
hisap,-3
histeria,-5
histeris,-4
hoax,-5
hop,-5
horor,-5
hubungan singkat,-4
huda,-3
huhuu,-4
hujah,-4
hujat,-5
hujung,-3
hulu,-3
huma,-4
huni,-3
hunjam,-4
hutang,-5
iblis,-4
idap,-5
idih,-3
idiot,-5
idk,-3
ifrit,-4
igau,-3
igauan,-3
ihh,-5
ihhh,-4
ihhhh,-3
ihwal,-4
iih,-5
ikan kena tuba,-4
ikat rambut,-4
ikut-ikutan,-3
ilang,-5
ilat,-5
iluminasi,-3
image,-2
imbas,-4
imbesil,-5
iming-iming,-3
impas,-3
implementasi,-4
implikasi,-3
impoten,-5
inai,-4
inaugurasi,-3
incang-incut,-4
incess,-3
incit,-4
indehoi,-3
indo,-3
indolen,-4
indolensi,-4
induk semang,-4
indusemen,-3
inersia,-4
inferior,-4
inferioritas,-5
influensa,-3
inga,-4
ingar,-5
ingetin,-2
ingkar,-4
ingsut,-3
inheren,-4
inhibisi,-4
injakan,-3
injek,-3
inkarnasi,-1
inklinasi,-3
insane,-4
instansi,-3
instruksi,-3
interlokusi,-3
intiha,-3
intimidasi,-5
intrakalimat,-5
intrinsik,-4
invalid,-5
inventori,-3
ira,-3
iri,-5
iri hati,-5
iringan,-4
iring-iringan,-4
irsyad,-3
isak,-5
isap jempol,-3
isapan jempol,-3
iseng,-3
ish,-4
isotop,-3
istan,-5
isu,-1
isukan,-1
item,-4
itunya,-2
iyain,-2
iyak,-2
iyasih,-2
jaat,-3
jabang bayi,-3
jabat,-3
jadul,-3
jahad,-4
jahanam,-5
jahat,-4
jahatin,-3
jahatnya,-4
jahil,-4
jahit,-5
jail,-4
jajah,-5
jajal,-4
jajaran genjang,-4
jalan arteri,-4
jalan bentar,-4
jalan buntu,-4
jalan layang,-4
jalan lingkar,-4
jalan protokol,-4
